clip,component,main_reason,review_frames,example_frame,example_original_ids,example_predicted_id,images,decision_APPROVE_or_HOLD,completion_sha256
TJunction_Town05_Route261_Weather1,base,bbox_not_verified,37,00043,,4364,images/TJunction_Town05_Route261_Weather1/compare/,,b4c152bdc062023cdc83ab5aaccc9fc8f69bd3e5995409b9027fc5595efc2bf9
TJunction_Town07_Route365_Weather1,base,bbox_not_verified,18,00032,,3563,images/TJunction_Town07_Route365_Weather1/compare/,,7c5642f6c0ecc6cec9c0a4804b1833483f79531225e05050a4ba32e0a119b68b
TJunction_Town12_Route1017_Weather3,base,bbox_not_verified,15,00034,,28545,images/TJunction_Town12_Route1017_Weather3/compare/,,f8e9794f4351714c89ae13e7c80bc3363f0e595e45887338e96d215b4bcccde7
TJunction_Town13_Route652_Weather2,base,bbox_not_verified,15,00052,,76592,images/TJunction_Town13_Route652_Weather2/compare/,,9792e713ebf3df55e8da785831316903559fbc2347af31e9df66673fd42dba71
TJunction_Town06_Route304_Weather18,base,bbox_not_verified,13,00041,,114,images/TJunction_Town06_Route304_Weather18/compare/,,a90b326c03e4b55c528327b4114ea79dbaad42ca1dbfd51116115fbdf67bcc61
TJunction_Town06_Route306_Weather20,base,bbox_not_verified,13,00034,,114,images/TJunction_Town06_Route306_Weather20/compare/,,d92aa56e276c6f7d98b243d1a7440bd28f48d791acb954a89126f9ccc914818e
VanillaSignalizedTurnEncounterRedLight_Town05_Route254_Weather20,base,bbox_not_verified,10,00462,,3088,images/VanillaSignalizedTurnEncounterRedLight_Town05_Route254_Weather20/compare/,,1dc885a8cbf59429c938c01df4f5248fffa965af9df88019b600aca7acfa3afc
VanillaSignalizedTurnEncounterRedLight_Town13_Route3865_Weather12,weak,bbox_not_verified,4,00326,,1448,images/VanillaSignalizedTurnEncounterRedLight_Town13_Route3865_Weather12/compare/,,27d442053bc885582e0c4585faa1d17d5342b19483b6485d22429c394b02d00c
BlockedIntersection_Town05_Route247_Weather19,base,bbox_not_verified,3,00140,,4053,images/BlockedIntersection_Town05_Route247_Weather19/compare/,,52a05292bd79ffe4b7db0f3bd8817eec55079b44cfd8e1cce604b0f180300413
VanillaSignalizedTurnEncounterRedLight_Town12_Route15481_Weather14,weak,bbox_not_verified,3,00203,,50583,images/VanillaSignalizedTurnEncounterRedLight_Town12_Route15481_Weather14/compare/,,fb7f4fd4021b655b88fefef511221c3b841714d672d2a31e38305fa1954ab90d
BlockedIntersection_Town05_Route272_Weather12,base,bbox_not_verified,2,00453,,3988,images/BlockedIntersection_Town05_Route272_Weather12/compare/,,3114a50075669e239153fe9e23615eee150d8926956827b8c6ef9ed4b6a173c4
EnterActorFlow_Town05_Route245_Weather9,base,bbox_not_verified,2,00044,,106,images/EnterActorFlow_Town05_Route245_Weather9/compare/,,5074d680d9d5f70391c9ed33d44e2bd56d578fc54768dcdb9e70aeb70e08c795
SignalizedJunctionLeftTurn_Town05_Route232_Weather23,base,bbox_not_verified,2,00081,,1793,images/SignalizedJunctionLeftTurn_Town05_Route232_Weather23/compare/,,de37cea9dfab8c08006aa2e68c8cd5ccd5da430f37778a9d6ddb1bb548a7a5e8
VanillaSignalizedTurnEncounterRedLight_Town13_Route689_Weather13,base,bbox_not_verified,2,00084,,47567,images/VanillaSignalizedTurnEncounterRedLight_Town13_Route689_Weather13/compare/,,e72f8f5562b022529ae2315f0570d7a1a665220790617d58f88598320fbc4f1c
OppositeVehicleRunningRedLight_Town12_Route929_Weather19,base,bbox_not_verified,1,00077,,5546,images/OppositeVehicleRunningRedLight_Town12_Route929_Weather19/compare/,,1ec01b7ca8d44df026cdcd8f5cde42040e722da0f46912edfbe1cc60a0ad6344
SignalizedJunctionLeftTurnEnterFlow_Town13_Route1631_Weather10,base,bbox_not_verified,1,00062,,33364,images/SignalizedJunctionLeftTurnEnterFlow_Town13_Route1631_Weather10/compare/,,453c0505646ee67bd89e3514c1e03ff0f013a70cfc20c95186e29e63930aebc8
SignalizedJunctionLeftTurnEnterFlow_Town13_Route1636_Weather15,base,bbox_not_verified,1,00079,,47906,images/SignalizedJunctionLeftTurnEnterFlow_Town13_Route1636_Weather15/compare/,,888e2a287b3859717062a3981c27b3af9034380574da021da3c826397e3cbfce
SignalizedJunctionLeftTurnEnterFlow_Town13_Route692_Weather8,base,bbox_not_verified,1,00092,,42815,images/SignalizedJunctionLeftTurnEnterFlow_Town13_Route692_Weather8/compare/,,8439bae0aea682b8f8f93432f9010e55acb0df2ae7f1ede2d4e74f8caa9d7bd2
SignalizedJunctionLeftTurn_Town07_Route334_Weather26,base,bbox_not_verified,1,00080,,5445,images/SignalizedJunctionLeftTurn_Town07_Route334_Weather26/compare/,,387d5a903c1717e4ab8c7bd0e249b18085e376a6414474c203929f1157b3eb20
TJunction_Town01_Route91_Weather13,base,bbox_not_verified,1,00036,,16373,images/TJunction_Town01_Route91_Weather13/compare/,,0d4a061ae73c943359254e80aef9d6e0a4f6a3e25be03b98feb277a3bbc70e37
VanillaSignalizedTurnEncounterGreenLight_Town05_Route250_Weather8,base,bbox_not_verified,1,00030,,3649,images/VanillaSignalizedTurnEncounterGreenLight_Town05_Route250_Weather8/compare/,,0dab782819893a29cff1839723fae305de3660caf8e75b356943a6238d1c2f90
VanillaSignalizedTurnEncounterGreenLight_Town07_Route356_Weather18,base,bbox_not_verified,1,00025,,3427,images/VanillaSignalizedTurnEncounterGreenLight_Town07_Route356_Weather18/compare/,,d744c1bc3f8b9e0b7c9228c2b8826859bfef3ba58befa4b60488f82311fdf237
VanillaSignalizedTurnEncounterRedLight_Town05_Route253_Weather19,base,bbox_not_verified,1,00089,,3845,images/VanillaSignalizedTurnEncounterRedLight_Town05_Route253_Weather19/compare/,,ed599835aa3f49258854bfb018c7cfaba5f119f9fa2816a4d28064ab98d47c27
CrossingBicycleFlow_Town12_Route1032_Weather18,base,existing_label_without_crossing_evidence,332,00000,50750,,images/CrossingBicycleFlow_Town12_Route1032_Weather18/compare/,,2f1be3f57f07e49d354cbbde8a0cf188439096614ee15bb4bf6c35990e9e7a40
CrossingBicycleFlow_Town12_Route1065_Weather25,base,existing_label_without_crossing_evidence,327,00000,5771,,images/CrossingBicycleFlow_Town12_Route1065_Weather25/compare/,,e683da24079ef38371ca4883e6076a56ec54719a7ea6faae449c756146f24781
BlockedIntersection_Town05_Route248_Weather14,base,existing_label_without_crossing_evidence,199,00000,,2734,images/BlockedIntersection_Town05_Route248_Weather14/compare/,,ba1e5c57e78640ba8eb2849316d3d415655934de95ddfc3dc13d72a9bc13dd28
VanillaSignalizedTurnEncounterRedLight_Town10HD_Route388_Weather23,base,existing_label_without_crossing_evidence,179,00000,4056,,images/VanillaSignalizedTurnEncounterRedLight_Town10HD_Route388_Weather23/compare/,,f9970455a1501285e02e6ead6fa53d2da3ebb2232f39ccb563575e801bdb981d
BlockedIntersection_Town13_Route615_Weather9,base,existing_label_without_crossing_evidence,163,00153,19678,,images/BlockedIntersection_Town13_Route615_Weather9/compare/,,a7b980d5fd645be8e587af950cb903740a2d8ff3be765f7859260fa8c5ed9459
VanillaSignalizedTurnEncounterRedLight_Town10HD_Route393_Weather3,base,existing_label_without_crossing_evidence,161,00000,40,,images/VanillaSignalizedTurnEncounterRedLight_Town10HD_Route393_Weather3/compare/,,9186a3045026ded6efeef198010a1d953c9676dbdb5d6ef19a17d401a532693c
VanillaSignalizedTurnEncounterGreenLight_Town10HD_Route387_Weather23,base,existing_label_without_crossing_evidence,154,00000,40,,images/VanillaSignalizedTurnEncounterGreenLight_Town10HD_Route387_Weather23/compare/,,19e576e0253d0252b2a155ef0305de48243688c08bf60724c63bdf8441e5f3c3
VanillaSignalizedTurnEncounterGreenLight_Town10HD_Route392_Weather2,base,existing_label_without_crossing_evidence,152,00000,1579,,images/VanillaSignalizedTurnEncounterGreenLight_Town10HD_Route392_Weather2/compare/,,45683eb7e6c883888486429a767ccf19b70e888e61e9d5c59f09009b1de8d118
BlockedIntersection_Town10HD_Route391_Weather1,base,existing_label_without_crossing_evidence,148,00000,40,,images/BlockedIntersection_Town10HD_Route391_Weather1/compare/,,4071ab14bb00ff195751a2056d96d3b11100031dae91716610085597335f8fe9
VanillaSignalizedTurnEncounterGreenLight_Town10HD_Route386_Weather22,base,existing_label_without_crossing_evidence,147,00000,3981,,images/VanillaSignalizedTurnEncounterGreenLight_Town10HD_Route386_Weather22/compare/,,959b3dd4fbbf18922fe87559d5afed91f69f41a0be75b68e8469f0ac1664890e
SignalizedJunctionLeftTurn_Town05_Route267_Weather3,base,existing_label_without_crossing_evidence,114,00000,285,282,images/SignalizedJunctionLeftTurn_Town05_Route267_Weather3/compare/,,acb1519652bbe0b3134240d531c50700fcc1680fd3259edc11fb8ef08e3c4440
VanillaSignalizedTurnEncounterRedLight_Town10HD_Route389_Weather25,base,existing_label_without_crossing_evidence,92,00000,4711,,images/VanillaSignalizedTurnEncounterRedLight_Town10HD_Route389_Weather25/compare/,,c7c2dcd96d3ee9837dd97ae9e971b78d94d13386423b134bf23194acf8904036
VanillaSignalizedTurnEncounterRedLight_Town12_Route15503_Weather10,weak,existing_label_without_crossing_evidence,81,00163,24478,,images/VanillaSignalizedTurnEncounterRedLight_Town12_Route15503_Weather10/compare/,,dff204c1d92d3a38699913dc16728263f462f36b99aa4da8fd1bb3a65dffb0d6
SignalizedJunctionLeftTurn_Town10HD_Route380_Weather21,base,existing_label_without_crossing_evidence,78,00000,362,,images/SignalizedJunctionLeftTurn_Town10HD_Route380_Weather21/compare/,,e422b971939a0b78194b52fcb2ab60a95c4c790323b54842f307a19b91636110
SignalizedJunctionLeftTurn_Town05_Route233_Weather6,base,existing_label_without_crossing_evidence,67,00046,249,246,images/SignalizedJunctionLeftTurn_Town05_Route233_Weather6/compare/,,731d8626b10be24f13303aef4a03cc62bcc0712aa2978426afdda04cced841f2
SignalizedJunctionLeftTurn_Town10HD_Route381_Weather22,base,existing_label_without_crossing_evidence,66,00000,387,,images/SignalizedJunctionLeftTurn_Town10HD_Route381_Weather22/compare/,,71a9c6003c2e692db21bd1686e36fe3ff2503adb37d369367d7deae53765fd98
VanillaSignalizedTurnEncounterRedLight_Town12_Route15551_Weather6,weak,existing_label_without_crossing_evidence,64,00335,54693,,images/VanillaSignalizedTurnEncounterRedLight_Town12_Route15551_Weather6/compare/,,39b29a5829f60007520e7264f51eb8b9747bc5441cf463e7ee2eca0dac0b5654
CrossingBicycleFlow_Town12_Route1070_Weather3,base,existing_label_without_crossing_evidence,59,00342,62330,,images/CrossingBicycleFlow_Town12_Route1070_Weather3/compare/,,e0da2326a902efd9c9e35f4954cb6b5dab272714f280b25b3427a1ef5a9c7571
VanillaSignalizedTurnEncounterGreenLight_Town05_Route252_Weather21,base,existing_label_without_crossing_evidence,58,00025,4212,4209,images/VanillaSignalizedTurnEncounterGreenLight_Town05_Route252_Weather21/compare/,,9da12e4a6b05e5b4a723ae231310d87f89801aaebc15dd1b97b86c254c3ab0e7
VanillaSignalizedTurnEncounterGreenLight_Town13_Route643_Weather19,base,existing_label_without_crossing_evidence,56,00157,62442,,images/VanillaSignalizedTurnEncounterGreenLight_Town13_Route643_Weather19/compare/,,7aa99ea231677376802f888469ec781b35474aa4307d4ff5931acfe14aad26fc
VanillaSignalizedTurnEncounterGreenLight_Town05_Route251_Weather9,base,existing_label_without_crossing_evidence,52,00025,2898,2895,images/VanillaSignalizedTurnEncounterGreenLight_Town05_Route251_Weather9/compare/,,c7eed992802ec83731efdcad6a16f9bfeddfa82234e113853d246992436525d3
VanillaSignalizedTurnEncounterRedLight_Town05_Route255_Weather21,base,existing_label_without_crossing_evidence,51,00091,3973,3970,images/VanillaSignalizedTurnEncounterRedLight_Town05_Route255_Weather21/compare/,,c4ff14be52d630f954619926689e977c0feb4645e7d95460cdd7b9f7c89fbaa1
VanillaSignalizedTurnEncounterRedLight_Town12_Route15488_Weather21,weak,existing_label_without_crossing_evidence,49,00078,23988,,images/VanillaSignalizedTurnEncounterRedLight_Town12_Route15488_Weather21/compare/,,847aa117c30049084f89c1a1d56feace09bf12950eb49451ee27de936e20d92c
VanillaSignalizedTurnEncounterGreenLight_Town15_Route451_Weather9,base,existing_label_without_crossing_evidence,44,00163,580,,images/VanillaSignalizedTurnEncounterGreenLight_Town15_Route451_Weather9/compare/,,33c1c992d826ae638a790b3305db9ec8ccdb8943776b66b0f950961733ec3d9e
VanillaSignalizedTurnEncounterRedLight_Town12_Route15513_Weather20,weak,existing_label_without_crossing_evidence,43,00079,42924,,images/VanillaSignalizedTurnEncounterRedLight_Town12_Route15513_Weather20/compare/,,d2d0d86fe560562048ebc3b97df9c05b228ecbdca29d14897cb02aa604244c7d
VanillaSignalizedTurnEncounterGreenLight_Town15_Route507_Weather13,base,existing_label_without_crossing_evidence,42,00206,1441,,images/VanillaSignalizedTurnEncounterGreenLight_Town15_Route507_Weather13/compare/,,3a9db2f008f70ea624882e02536e4864f1f0cf7acb081cebcd53f69c2c0c6373
VanillaSignalizedTurnEncounterRedLight_Town12_Route15493_Weather0,weak,existing_label_without_crossing_evidence,41,00512,5580,,images/VanillaSignalizedTurnEncounterRedLight_Town12_Route15493_Weather0/compare/,,22378d0a81a94c513113cc70cf8710a727d70f47d9a0e60e753c35fe76383b54
VanillaSignalizedTurnEncounterRedLight_Town15_Route492_Weather23,base,existing_label_without_crossing_evidence,40,00134,434,,images/VanillaSignalizedTurnEncounterRedLight_Town15_Route492_Weather23/compare/,,7013ccf896c24e87b02efc7046ec2b776a30e478098ecedd23e11419b9b9ab3b
VanillaSignalizedTurnEncounterRedLight_Town12_Route15547_Weather2,weak,existing_label_without_crossing_evidence,40,00086,47182,,images/VanillaSignalizedTurnEncounterRedLight_Town12_Route15547_Weather2/compare/,,cf7b19b3f027bff734f41be422d856432581333a599a2b6f9ebb029305a1e865
VanillaSignalizedTurnEncounterRedLight_Town15_Route452_Weather10,base,existing_label_without_crossing_evidence,39,00111,617,,images/VanillaSignalizedTurnEncounterRedLight_Town15_Route452_Weather10/compare/,,3151249035f46ea65295d8fa01fc27d9bd26dc57d192f63822defa64ad921c70
VanillaSignalizedTurnEncounterRedLight_Town12_Route15486_Weather19,weak,existing_label_without_crossing_evidence,36,00203,57847,,images/VanillaSignalizedTurnEncounterRedLight_Town12_Route15486_Weather19/compare/,,168ec8b438d72bf50c5d5ec3ab3ca13e77e9810481606e7dbd8f294969a494a7
VanillaSignalizedTurnEncounterRedLight_Town12_Route15525_Weather6,weak,existing_label_without_crossing_evidence,35,00514,5655,,images/VanillaSignalizedTurnEncounterRedLight_Town12_Route15525_Weather6/compare/,,4d7c0d5ce512e01b1939963497cf2ff693d0fea1280db8c77f5778231374008e
SignalizedJunctionLeftTurnEnterFlow_Town15_Route529_Weather9,base,existing_label_without_crossing_evidence,34,00091,3667,,images/SignalizedJunctionLeftTurnEnterFlow_Town15_Route529_Weather9/compare/,,213a9481b1d22c03127977192fb9f9cb78d49189505f64ab0613469c0ff2032d
SignalizedJunctionLeftTurn_Town15_Route437_Weather26,base,existing_label_without_crossing_evidence,31,00082,13744,,images/SignalizedJunctionLeftTurn_Town15_Route437_Weather26/compare/,,26a8a958106c27eee2cce525f7e72eede6b1ab614c19647fbb302cd59d159640
VanillaSignalizedTurnEncounterRedLight_Town10HD_Route24840_Weather26,weak,existing_label_without_crossing_evidence,19,00000,5059,,images/VanillaSignalizedTurnEncounterRedLight_Town10HD_Route24840_Weather26/compare/,,07a85146c5e77fbe0b5edc09493a55cd65fc8510c53b0670b719b03008e135e3
NonSignalizedJunctionLeftTurn_Town05_Route239_Weather26,base,existing_label_without_crossing_evidence,3,00041,299,,images/NonSignalizedJunctionLeftTurn_Town05_Route239_Weather26/compare/,,e542e76b770ac6d71d8de190b80e0ae8fccac5b7dc697b1c19ba4806c34d859b
PedestrianCrossing_Town12_Route864_Weather6,base,multiple_near_simultaneous_crossings,48,00000,42835,42834,images/PedestrianCrossing_Town12_Route864_Weather6/compare/,,be7a90b1d5b7cbe82c9d3b20e615751864f5155c57f7a2ebb8be001a6670dd5c
ControlLoss_Town11_Route401_Weather11,base,trajectory_heading_mismatch,258,00091,,3677,images/ControlLoss_Town11_Route401_Weather11/compare/,,a4512019afdc3e2e97fa4b5b4dda2f2f29757e365ca5e448c8f76850923a95c9
InvadingTurn_Town13_Route575_Weather3,base,trajectory_heading_mismatch,106,00080,,43644,images/InvadingTurn_Town13_Route575_Weather3/compare/,,a0a6bf013ff5a169f56f4f105d39e5c5094b35f2dccbe51ed8800a04d1227076
TJunction_Town13_Route691_Weather15,base,trajectory_heading_mismatch,17,00029,,52978,images/TJunction_Town13_Route691_Weather15/compare/,,0c68acdb3cf08cbbec383f834f244c6dedc9d95cf0d99243353f916c1af8c842
TJunction_Town15_Route496_Weather2,base,trajectory_heading_mismatch,15,00036,,966,images/TJunction_Town15_Route496_Weather2/compare/,,631dde4494290f2064bedee6253e27b8d5269bca9b47544c77c57275e7616a56
