clip,component,split
ConstructionObstacle_Town05_Route68_Weather8,base,train
ConstructionObstacle_Town05_Route69_Weather9,base,train
ConstructionObstacle_Town05_Route70_Weather18,base,train
ConstructionObstacle_Town05_Route71_Weather19,base,train
ConstructionObstacle_Town06_Route72_Weather20,base,train
ConstructionObstacle_Town06_Route73_Weather21,base,train
ConstructionObstacle_Town10HD_Route74_Weather22,base,val
ConstructionObstacle_Town12_Route75_Weather23,base,train
ConstructionObstacle_Town12_Route76_Weather23,base,train
ConstructionObstacle_Town12_Route77_Weather25,base,train
ConstructionObstacle_Town12_Route78_Weather0,base,val
ConstructionObstacle_Town12_Route79_Weather1,base,train
ConstructionObstacle_Town13_Route80_Weather2,base,train
ConstructionObstacle_Town13_Route81_Weather3,base,train
ConstructionObstacle_Town13_Route82_Weather3,base,train
ConstructionObstacle_Town13_Route83_Weather5,base,train
ConstructionObstacle_Town15_Route84_Weather6,base,train
ConstructionObstacle_Town15_Route85_Weather7,base,train
ConstructionObstacle_Town15_Route87_Weather9,base,train
ControlLoss_Town04_Route169_Weather13,base,train
ControlLoss_Town04_Route170_Weather14,base,val
ControlLoss_Town07_Route332_Weather20,base,train
ControlLoss_Town07_Route333_Weather21,base,train
ControlLoss_Town10HD_Route377_Weather13,base,train
ControlLoss_Town10HD_Route378_Weather14,base,val
ControlLoss_Town11_Route401_Weather11,base,train
ControlLoss_Town11_Route402_Weather12,base,train
ControlLoss_Town13_Route574_Weather19,base,train
ControlLoss_Town15_Route430_Weather14,base,train
ControlLoss_Town15_Route431_Weather15,base,train
ControlLoss_Town15_Route432_Weather8,base,train
ControlLoss_Town15_Route433_Weather9,base,train
CrossingBicycleFlow_Town12_Route1011_Weather23,base,train
CrossingBicycleFlow_Town12_Route1032_Weather18,base,train
CrossingBicycleFlow_Town12_Route1044_Weather3,base,train
CrossingBicycleFlow_Town12_Route1050_Weather10,base,train
CrossingBicycleFlow_Town12_Route1061_Weather21,base,train
CrossingBicycleFlow_Town12_Route1062_Weather22,base,train
CrossingBicycleFlow_Town12_Route1063_Weather23,base,train
CrossingBicycleFlow_Town12_Route1064_Weather23,base,train
CrossingBicycleFlow_Town12_Route1065_Weather25,base,train
CrossingBicycleFlow_Town12_Route1066_Weather0,base,train
CrossingBicycleFlow_Town12_Route1068_Weather2,base,train
CrossingBicycleFlow_Town12_Route1070_Weather3,base,train
CrossingBicycleFlow_Town12_Route1071_Weather0,base,train
CrossingBicycleFlow_Town12_Route1072_Weather6,base,train
CrossingBicycleFlow_Town12_Route1073_Weather7,base,train
CrossingBicycleFlow_Town12_Route1074_Weather8,base,train
CrossingBicycleFlow_Town12_Route1075_Weather9,base,train
CrossingBicycleFlow_Town12_Route1076_Weather10,base,train
CrossingBicycleFlow_Town12_Route1077_Weather11,base,train
CrossingBicycleFlow_Town12_Route1078_Weather12,base,train
CrossingBicycleFlow_Town12_Route860_Weather2,base,train
CrossingBicycleFlow_Town12_Route862_Weather3,base,train
CrossingBicycleFlow_Town12_Route863_Weather5,base,train
CrossingBicycleFlow_Town12_Route977_Weather15,base,val
DynamicObjectCrossing_Town01_Route1_Weather1,base,train
DynamicObjectCrossing_Town01_Route2_Weather2,base,train
DynamicObjectCrossing_Town01_Route3_Weather3,base,val
DynamicObjectCrossing_Town01_Route4_Weather3,base,train
DynamicObjectCrossing_Town01_Route5_Weather2,base,train
DynamicObjectCrossing_Town01_Route6_Weather6,base,train
DynamicObjectCrossing_Town01_Route7_Weather7,base,train
DynamicObjectCrossing_Town01_Route8_Weather3,base,train
DynamicObjectCrossing_Town02_Route11_Weather11,base,val
DynamicObjectCrossing_Town02_Route12_Weather12,base,train
DynamicObjectCrossing_Town02_Route14_Weather14,base,train
DynamicObjectCrossing_Town02_Route15_Weather15,base,train
DynamicObjectCrossing_Town02_Route9_Weather9,base,train
DynamicObjectCrossing_Town10HD_Route18_Weather18,base,train
DynamicObjectCrossing_Town10HD_Route19_Weather19,base,train
DynamicObjectCrossing_Town11_Route20_Weather20,base,train
DynamicObjectCrossing_Town12_Route21_Weather21,base,train
DynamicObjectCrossing_Town12_Route22_Weather22,base,train
DynamicObjectCrossing_Town12_Route23_Weather23,base,train
DynamicObjectCrossing_Town13_Route24_Weather23,base,train
DynamicObjectCrossing_Town13_Route25_Weather25,base,train
DynamicObjectCrossing_Town13_Route26_Weather0,base,train
DynamicObjectCrossing_Town15_Route27_Weather1,base,train
DynamicObjectCrossing_Town15_Route28_Weather2,base,train
DynamicObjectCrossing_Town15_Route29_Weather3,base,train
EnterActorFlow_Town03_Route132_Weather2,base,val
EnterActorFlow_Town04_Route192_Weather10,base,train
EnterActorFlow_Town05_Route245_Weather9,base,train
EnterActorFlow_Town05_Route271_Weather11,base,train
EnterActorFlow_Town07_Route348_Weather10,base,train
EnterActorFlow_Town07_Route350_Weather12,base,train
EnterActorFlow_Town12_Route830_Weather23,base,train
EnterActorFlow_Town12_Route831_Weather25,base,train
EnterActorFlow_Town12_Route832_Weather0,base,train
EnterActorFlow_Town13_Route611_Weather13,base,train
EnterActorFlow_Town13_Route612_Weather14,base,train
EnterActorFlow_Town13_Route613_Weather15,base,train
EnterActorFlow_Town13_Route614_Weather8,base,train
EnterActorFlow_Town13_Route681_Weather5,base,train
HardBreakRoute_Town01_Route30_Weather3,base,train
HardBreakRoute_Town01_Route31_Weather5,base,train
HardBreakRoute_Town01_Route32_Weather6,base,val
HardBreakRoute_Town02_Route33_Weather7,base,train
HardBreakRoute_Town02_Route34_Weather8,base,train
HardBreakRoute_Town02_Route35_Weather9,base,train
HardBreakRoute_Town03_Route36_Weather10,base,train
HardBreakRoute_Town03_Route37_Weather11,base,train
HardBreakRoute_Town03_Route38_Weather12,base,train
HardBreakRoute_Town04_Route39_Weather13,base,train
HardBreakRoute_Town04_Route40_Weather14,base,train
HardBreakRoute_Town04_Route41_Weather15,base,train
HardBreakRoute_Town05_Route42_Weather8,base,train
HardBreakRoute_Town05_Route43_Weather9,base,train
HardBreakRoute_Town05_Route44_Weather18,base,train
HardBreakRoute_Town06_Route45_Weather19,base,train
HardBreakRoute_Town06_Route46_Weather20,base,train
HardBreakRoute_Town07_Route47_Weather21,base,train
HardBreakRoute_Town07_Route48_Weather22,base,train
HardBreakRoute_Town10HD_Route49_Weather23,base,train
HardBreakRoute_Town11_Route50_Weather23,base,train
HardBreakRoute_Town12_Route51_Weather25,base,train
HardBreakRoute_Town12_Route52_Weather0,base,train
HardBreakRoute_Town12_Route53_Weather1,base,train
HardBreakRoute_Town13_Route1337_Weather26,base,train
HardBreakRoute_Town13_Route1338_Weather26,base,train
HardBreakRoute_Town13_Route1339_Weather26,base,train
HardBreakRoute_Town13_Route1340_Weather26,base,train
HardBreakRoute_Town13_Route1341_Weather26,base,train
HardBreakRoute_Town13_Route54_Weather2,base,train
HardBreakRoute_Town13_Route55_Weather3,base,train
HardBreakRoute_Town13_Route56_Weather3,base,train
HardBreakRoute_Town15_Route57_Weather5,base,train
HardBreakRoute_Town15_Route58_Weather6,base,train
HardBreakRoute_Town15_Route59_Weather7,base,train
HazardAtSideLaneTwoWays_Town12_Route1128_Weather10,base,train
HazardAtSideLaneTwoWays_Town12_Route1129_Weather11,base,train
HazardAtSideLaneTwoWays_Town12_Route1130_Weather12,base,train
HazardAtSideLaneTwoWays_Town12_Route1131_Weather13,base,train
HazardAtSideLaneTwoWays_Town12_Route1132_Weather14,base,train
HazardAtSideLaneTwoWays_Town12_Route1133_Weather15,base,train
HazardAtSideLaneTwoWays_Town12_Route1134_Weather8,base,train
HazardAtSideLaneTwoWays_Town12_Route1135_Weather9,base,train
HazardAtSideLaneTwoWays_Town12_Route1136_Weather18,base,train
HazardAtSideLaneTwoWays_Town12_Route1137_Weather19,base,train
HazardAtSideLaneTwoWays_Town12_Route1138_Weather20,base,train
HazardAtSideLaneTwoWays_Town12_Route1139_Weather21,base,train
HazardAtSideLaneTwoWays_Town12_Route1140_Weather22,base,train
HazardAtSideLaneTwoWays_Town12_Route1141_Weather23,base,train
HazardAtSideLaneTwoWays_Town12_Route1142_Weather23,base,train
HazardAtSideLaneTwoWays_Town12_Route1143_Weather25,base,train
HazardAtSideLaneTwoWays_Town12_Route1144_Weather0,base,train
HazardAtSideLaneTwoWays_Town12_Route1145_Weather1,base,train
HazardAtSideLaneTwoWays_Town12_Route1146_Weather2,base,train
HazardAtSideLaneTwoWays_Town12_Route1147_Weather3,base,train
HazardAtSideLaneTwoWays_Town12_Route1151_Weather7,base,val
HazardAtSideLaneTwoWays_Town12_Route1152_Weather8,base,train
HazardAtSideLaneTwoWays_Town12_Route1153_Weather9,base,train
HazardAtSideLaneTwoWays_Town12_Route1154_Weather10,base,train
HazardAtSideLaneTwoWays_Town12_Route1155_Weather11,base,train
HazardAtSideLaneTwoWays_Town12_Route1156_Weather12,base,train
HazardAtSideLaneTwoWays_Town12_Route1157_Weather13,base,train
HazardAtSideLane_Town03_Route105_Weather22,base,train
HazardAtSideLane_Town03_Route106_Weather23,base,train
HazardAtSideLane_Town04_Route164_Weather8,base,train
HazardAtSideLane_Town05_Route222_Weather0,base,train
HazardAtSideLane_Town05_Route223_Weather15,base,train
HazardAtSideLane_Town05_Route263_Weather3,base,train
HazardAtSideLane_Town06_Route283_Weather23,base,train
HazardAtSideLane_Town06_Route329_Weather9,base,train
HazardAtSideLane_Town10HD_Route373_Weather9,base,val
HazardAtSideLane_Town12_Route1506_Weather0,base,train
HazardAtSideLane_Town12_Route1507_Weather1,base,train
HazardAtSideLane_Town12_Route1508_Weather2,base,train
HazardAtSideLane_Town12_Route1512_Weather7,base,train
HazardAtSideLane_Town12_Route1515_Weather12,base,train
HazardAtSideLane_Town12_Route1516_Weather13,base,train
HazardAtSideLane_Town12_Route1517_Weather14,base,train
HazardAtSideLane_Town12_Route1518_Weather15,base,train
HazardAtSideLane_Town12_Route1519_Weather8,base,train
HazardAtSideLane_Town12_Route1520_Weather9,base,train
HazardAtSideLane_Town12_Route1521_Weather18,base,train
HazardAtSideLane_Town12_Route1523_Weather20,base,train
HazardAtSideLane_Town12_Route1524_Weather21,base,train
HazardAtSideLane_Town12_Route1525_Weather22,base,train
HazardAtSideLane_Town12_Route1526_Weather23,base,train
HazardAtSideLane_Town12_Route1527_Weather25,base,train
HazardAtSideLane_Town12_Route1528_Weather0,base,train
HazardAtSideLane_Town12_Route1530_Weather2,base,train
HazardAtSideLane_Town12_Route1532_Weather5,base,train
HazardAtSideLane_Town12_Route1533_Weather6,base,train
HazardAtSideLane_Town12_Route1534_Weather7,base,train
HazardAtSideLane_Town12_Route1535_Weather10,base,train
HazardAtSideLane_Town12_Route1536_Weather11,base,train
HazardAtSideLane_Town12_Route1537_Weather12,base,train
HazardAtSideLane_Town12_Route1538_Weather13,base,train
HazardAtSideLane_Town12_Route774_Weather20,base,train
HazardAtSideLane_Town12_Route775_Weather12,base,train
HazardAtSideLane_Town12_Route777_Weather23,base,train
HazardAtSideLane_Town12_Route915_Weather7,base,train
HazardAtSideLane_Town12_Route960_Weather20,base,train
HazardAtSideLane_Town12_Route961_Weather25,base,train
HazardAtSideLane_Town13_Route558_Weather12,base,train
HazardAtSideLane_Town15_Route420_Weather3,base,train
HazardAtSideLane_Town15_Route421_Weather5,base,train
HighwayCutIn_Town06_Route298_Weather20,base,train
HighwayCutIn_Town06_Route299_Weather13,base,train
HighwayCutIn_Town06_Route300_Weather14,base,train
HighwayCutIn_Town06_Route320_Weather8,base,train
HighwayCutIn_Town06_Route321_Weather9,base,train
HighwayCutIn_Town06_Route322_Weather10,base,train
HighwayCutIn_Town12_Route1005_Weather9,base,train
HighwayCutIn_Town12_Route1006_Weather18,base,train
HighwayCutIn_Town12_Route1029_Weather15,base,val
HighwayCutIn_Town12_Route1042_Weather2,base,train
HighwayCutIn_Town12_Route1047_Weather7,base,train
HighwayCutIn_Town12_Route1052_Weather12,base,train
HighwayCutIn_Town12_Route849_Weather9,base,train
HighwayCutIn_Town12_Route850_Weather18,base,train
HighwayCutIn_Town12_Route851_Weather19,base,train
HighwayCutIn_Town12_Route940_Weather3,base,train
HighwayCutIn_Town12_Route974_Weather12,base,train
HighwayCutIn_Town13_Route628_Weather3,base,train
HighwayCutIn_Town13_Route629_Weather5,base,train
HighwayCutIn_Town13_Route630_Weather6,base,train
HighwayCutIn_Town13_Route631_Weather7,base,train
HighwayCutIn_Town13_Route685_Weather9,base,train
HighwayCutIn_Town13_Route713_Weather11,base,train
HighwayCutIn_Town13_Route734_Weather6,base,train
HighwayCutIn_Town13_Route745_Weather9,base,train
HighwayCutIn_Town13_Route750_Weather22,base,train
HighwayCutIn_Town13_Route751_Weather23,base,train
HighwayExit_Town06_Route291_Weather5,base,train
HighwayExit_Town06_Route292_Weather14,base,train
HighwayExit_Town06_Route293_Weather15,base,train
HighwayExit_Town06_Route311_Weather25,base,train
HighwayExit_Town06_Route312_Weather0,base,val
HighwayExit_Town06_Route313_Weather1,base,train
HighwayExit_Town12_Route1000_Weather12,base,train
HighwayExit_Town12_Route1028_Weather14,base,train
HighwayExit_Town12_Route1041_Weather1,base,train
HighwayExit_Town12_Route1046_Weather6,base,train
HighwayExit_Town12_Route1051_Weather11,base,train
HighwayExit_Town12_Route1324_Weather0,base,train
HighwayExit_Town12_Route1326_Weather2,base,train
HighwayExit_Town12_Route1327_Weather3,base,train
HighwayExit_Town12_Route1331_Weather10,base,train
HighwayExit_Town12_Route838_Weather6,base,train
HighwayExit_Town12_Route841_Weather9,base,train
HighwayExit_Town13_Route619_Weather21,base,train
HighwayExit_Town13_Route620_Weather22,base,train
HighwayExit_Town13_Route621_Weather23,base,train
HighwayExit_Town13_Route622_Weather23,base,train
HighwayExit_Town13_Route683_Weather7,base,train
HighwayExit_Town13_Route704_Weather2,base,train
HighwayExit_Town13_Route705_Weather3,base,train
HighwayExit_Town13_Route706_Weather3,base,train
HighwayExit_Town13_Route744_Weather8,base,train
HighwayExit_Town13_Route748_Weather20,base,train
HighwayExit_Town13_Route749_Weather21,base,train
InterurbanActorFlow_Town06_Route294_Weather8,base,train
InterurbanActorFlow_Town06_Route314_Weather2,base,train
InterurbanActorFlow_Town06_Route315_Weather3,base,train
InterurbanActorFlow_Town06_Route316_Weather3,base,train
InterurbanActorFlow_Town12_Route1291_Weather1,base,val
InterurbanActorFlow_Town12_Route1292_Weather2,base,train
InterurbanActorFlow_Town12_Route1296_Weather7,base,train
InterurbanActorFlow_Town12_Route842_Weather10,base,train
InterurbanActorFlow_Town12_Route843_Weather11,base,train
InterurbanActorFlow_Town13_Route623_Weather25,base,train
InterurbanActorFlow_Town13_Route707_Weather5,base,train
InterurbanActorFlow_Town13_Route708_Weather6,base,train
InterurbanAdvancedActorFlow_Town06_Route301_Weather15,base,train
InterurbanAdvancedActorFlow_Town06_Route302_Weather21,base,train
InterurbanAdvancedActorFlow_Town06_Route303_Weather22,base,train
InterurbanAdvancedActorFlow_Town06_Route324_Weather2,base,val
InterurbanAdvancedActorFlow_Town06_Route325_Weather13,base,train
InterurbanAdvancedActorFlow_Town06_Route330_Weather18,base,train
InterurbanAdvancedActorFlow_Town06_Route331_Weather19,base,train
InterurbanAdvancedActorFlow_Town12_Route1030_Weather8,base,train
InterurbanAdvancedActorFlow_Town12_Route1048_Weather8,base,train
InterurbanAdvancedActorFlow_Town12_Route854_Weather22,base,train
InterurbanAdvancedActorFlow_Town13_Route634_Weather10,base,train
InterurbanAdvancedActorFlow_Town13_Route686_Weather10,base,train
InterurbanAdvancedActorFlow_Town13_Route715_Weather13,base,train
InterurbanAdvancedActorFlow_Town13_Route753_Weather25,base,train
InvadingTurn_Town02_Route95_Weather9,base,val
InvadingTurn_Town02_Route99_Weather21,base,train
InvadingTurn_Town04_Route217_Weather9,base,train
InvadingTurn_Town05_Route230_Weather22,base,train
InvadingTurn_Town05_Route231_Weather23,base,train
InvadingTurn_Town05_Route266_Weather6,base,train
InvadingTurn_Town12_Route796_Weather8,base,train
InvadingTurn_Town12_Route924_Weather14,base,train
InvadingTurn_Town12_Route925_Weather15,base,train
InvadingTurn_Town13_Route575_Weather3,base,train
InvadingTurn_Town13_Route578_Weather6,base,train
InvadingTurn_Town15_Route434_Weather18,base,train
InvadingTurn_Town15_Route436_Weather20,base,train
LaneChange_Town04_Route24315_Weather3,weak,train
LaneChange_Town04_Route24325_Weather14,weak,val
LaneChange_Town05_Route24259_Weather19,weak,val
LaneChange_Town05_Route24359_Weather1,weak,train
LaneChange_Town06_Route24237_Weather20,weak,train
LaneChange_Town06_Route24247_Weather5,weak,train
LaneChange_Town06_Route277_Weather9,base,train
LaneChange_Town06_Route326_Weather3,base,train
LaneChange_Town10HD_Route24200_Weather3,weak,train
LaneChange_Town12_Route1644_Weather0,weak,train
LaneChange_Town12_Route1654_Weather10,weak,train
LaneChange_Town12_Route1656_Weather12,weak,train
LaneChange_Town12_Route1659_Weather15,weak,train
LaneChange_Town12_Route17553_Weather2,weak,train
LaneChange_Town12_Route17563_Weather12,weak,train
LaneChange_Town12_Route17569_Weather18,weak,train
LaneChange_Town12_Route17570_Weather19,weak,train
LaneChange_Town12_Route17572_Weather21,weak,train
LaneChange_Town12_Route17575_Weather23,weak,train
LaneChange_Town12_Route17578_Weather1,weak,train
LaneChange_Town12_Route17581_Weather3,weak,train
LaneChange_Town12_Route17587_Weather10,weak,train
LaneChange_Town12_Route17588_Weather11,weak,train
LaneChange_Town12_Route17598_Weather21,weak,train
LaneChange_Town12_Route17611_Weather8,weak,train
LaneChange_Town12_Route17612_Weather9,weak,train
LaneChange_Town12_Route17614_Weather11,weak,train
LaneChange_Town12_Route17624_Weather21,weak,train
LaneChange_Town12_Route17635_Weather6,weak,train
LaneChange_Town12_Route17646_Weather9,weak,train
LaneChange_Town12_Route17655_Weather0,weak,train
LaneChange_Town12_Route17663_Weather8,weak,train
LaneChange_Town12_Route17668_Weather13,weak,train
LaneChange_Town12_Route17671_Weather8,weak,train
LaneChange_Town12_Route17672_Weather9,weak,train
LaneChange_Town12_Route17689_Weather8,weak,train
LaneChange_Town12_Route17691_Weather10,weak,train
LaneChange_Town12_Route17695_Weather14,weak,train
LaneChange_Town12_Route2425_Weather1,weak,train
LaneChange_Town12_Route2431_Weather7,weak,train
LaneChange_Town12_Route2432_Weather8,weak,train
LaneChange_Town12_Route2435_Weather11,weak,train
LaneChange_Town12_Route756_Weather2,base,train
LaneChange_Town12_Route757_Weather10,base,train
LaneChange_Town12_Route892_Weather8,base,train
LaneChange_Town12_Route983_Weather5,base,train
LaneChange_Town12_Route984_Weather22,base,train
LaneChange_Town13_Route3207_Weather3,weak,train
LaneChange_Town13_Route3208_Weather5,weak,train
LaneChange_Town13_Route3217_Weather14,weak,train
LaneChange_Town13_Route664_Weather14,base,train
LaneChange_Town13_Route725_Weather23,base,train
LaneChange_Town13_Route726_Weather21,base,train
LaneChange_Town13_Route739_Weather25,base,train
LaneChange_Town13_Route743_Weather3,base,train
LaneChange_Town15_Route24303_Weather15,weak,val
MergerIntoSlowTrafficV2_Town12_Route1009_Weather21,base,train
MergerIntoSlowTrafficV2_Town12_Route1010_Weather22,base,train
MergerIntoSlowTrafficV2_Town12_Route1031_Weather9,base,train
MergerIntoSlowTrafficV2_Town12_Route1043_Weather3,base,train
MergerIntoSlowTrafficV2_Town12_Route1053_Weather13,base,train
MergerIntoSlowTrafficV2_Town12_Route1055_Weather15,base,train
MergerIntoSlowTrafficV2_Town12_Route1056_Weather8,base,train
MergerIntoSlowTrafficV2_Town12_Route1057_Weather9,base,train
MergerIntoSlowTrafficV2_Town12_Route1058_Weather18,base,train
MergerIntoSlowTrafficV2_Town12_Route1059_Weather19,base,train
MergerIntoSlowTrafficV2_Town12_Route1060_Weather20,base,train
MergerIntoSlowTrafficV2_Town12_Route856_Weather23,base,train
MergerIntoSlowTrafficV2_Town12_Route857_Weather25,base,val
MergerIntoSlowTrafficV2_Town12_Route858_Weather0,base,train
MergerIntoSlowTrafficV2_Town12_Route859_Weather1,base,train
MergerIntoSlowTrafficV2_Town12_Route941_Weather5,base,train
MergerIntoSlowTrafficV2_Town12_Route976_Weather14,base,train
MergerIntoSlowTraffic_Town06_Route317_Weather5,base,val
MergerIntoSlowTraffic_Town12_Route844_Weather12,base,train
MergerIntoSlowTraffic_Town12_Route845_Weather13,base,train
MergerIntoSlowTraffic_Town12_Route973_Weather11,base,train
MergerIntoSlowTraffic_Town13_Route626_Weather2,base,train
MergerIntoSlowTraffic_Town13_Route627_Weather3,base,train
NonSignalizedJunctionLeftTurnEnterFlow_Town12_Route1022_Weather8,base,train
NonSignalizedJunctionLeftTurnEnterFlow_Town12_Route1035_Weather21,base,train
NonSignalizedJunctionLeftTurnEnterFlow_Town12_Route888_Weather3,base,train
NonSignalizedJunctionLeftTurnEnterFlow_Town12_Route891_Weather7,base,train
NonSignalizedJunctionLeftTurnEnterFlow_Town12_Route982_Weather20,base,train
NonSignalizedJunctionLeftTurnEnterFlow_Town13_Route660_Weather10,base,train
NonSignalizedJunctionLeftTurnEnterFlow_Town13_Route722_Weather20,base,train
NonSignalizedJunctionLeftTurnEnterFlow_Town13_Route723_Weather21,base,train
NonSignalizedJunctionLeftTurnEnterFlow_Town13_Route724_Weather22,base,train
NonSignalizedJunctionLeftTurnEnterFlow_Town13_Route738_Weather10,base,train
