clip,component,entries,reassigned,reassigned_pct,already_ok,no_consensus,target_absent,ego_entries,ego_unverified,ok_before,ok_after,ok_before_pct,ok_after_pct,bbox_changed_frames,affects_ego_changed_entries
VanillaSignalizedTurnEncounterRedLight_Town12_Route15463_Weather22,weak,588,588,100.0,0,0,0,47,0,0,588,0.0,100.0,147,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15464_Weather23,weak,1116,1116,100.0,0,0,0,158,0,0,1116,0.0,100.0,279,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15567_Weather22,weak,2375,2374,100.0,1,0,0,325,0,1,2375,0.0,100.0,417,0
VanillaSignalizedTurnEncounterRedLight_Town13_Route3871_Weather18,weak,1720,1720,100.0,0,0,0,355,0,0,1720,0.0,100.0,430,0
VanillaSignalizedTurnEncounterRedLight_Town13_Route3880_Weather1,weak,2292,2292,100.0,0,0,0,505,0,0,2292,0.0,100.0,573,0
VehicleTurningRoute_Town12_Route824_Weather20,base,756,756,100.0,0,0,0,53,0,0,756,0.0,100.0,189,0
VehicleTurningRoute_Town13_Route605_Weather9,base,1516,1516,100.0,0,0,0,154,0,0,1516,0.0,100.0,379,0
VehicleTurningRoute_Town13_Route606_Weather18,base,1548,1548,100.0,0,0,0,123,0,0,1548,0.0,100.0,387,0
HardBreakRoute_Town12_Route53_Weather1,base,971,970,99.9,0,0,1,0,0,0,970,0.0,99.9,243,0
AccidentTwoWays_Town12_Route1112_Weather20,base,1067,1065,99.8,1,0,1,0,0,1,1066,0.1,99.9,267,0
DynamicObjectCrossing_Town13_Route25_Weather25,base,567,566,99.8,0,0,1,0,0,0,566,0.0,99.8,142,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15527_Weather8,weak,1732,1728,99.8,0,0,4,317,0,0,1728,0.0,99.8,432,0
ParkingCrossingPedestrian_Town12_Route899_Weather15,base,547,545,99.6,1,0,1,0,0,1,546,0.2,99.8,137,0
ParkingCutIn_Town12_Route1302_Weather15,base,535,533,99.6,1,0,1,0,0,1,534,0.2,99.8,134,0
ParkingExit_Town12_Route920_Weather10,base,475,473,99.6,1,0,1,0,0,1,474,0.2,99.8,119,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15484_Weather9,weak,1805,1792,99.3,0,0,13,362,0,0,1792,0.0,99.3,425,0
ParkingCutIn_Town12_Route1312_Weather2,base,522,518,99.2,2,0,2,0,0,2,520,0.4,99.6,131,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15539_Weather20,weak,1803,1770,98.2,16,16,1,319,0,32,1802,1.8,99.9,422,0
VehicleTurningRoutePedestrian_Town12_Route826_Weather20,base,1007,984,97.7,11,0,12,152,0,11,995,1.1,98.8,214,0
ParkedObstacleTwoWays_Town12_Route1164_Weather20,base,1231,1202,97.6,0,26,3,0,0,0,1202,0.0,97.6,302,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15483_Weather8,weak,1869,1822,97.5,23,23,1,338,0,46,1868,2.5,99.9,431,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15564_Weather19,weak,961,930,96.8,30,0,1,110,0,30,960,3.1,99.9,213,0
ConstructionObstacleTwoWays_Town12_Route1089_Weather23,base,1295,1238,95.6,57,0,0,0,0,57,1295,4.4,100.0,323,0
AccidentTwoWays_Town12_Route1120_Weather2,base,1179,1122,95.2,56,0,1,0,0,56,1178,4.7,99.9,295,0
ConstructionObstacleTwoWays_Town12_Route1413_Weather26,base,1195,1138,95.2,56,0,1,0,0,56,1194,4.7,99.9,299,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15459_Weather18,weak,1768,1680,95.0,0,88,0,350,0,13,1680,0.7,95.0,420,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15582_Weather11,weak,1205,1132,93.9,0,73,0,211,0,0,1132,0.0,93.9,283,0
VehicleTurningRoutePedestrian_Town12_Route829_Weather25,base,2187,2044,93.5,92,50,1,79,0,142,2186,6.5,100.0,511,0
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route878_Weather20,base,873,804,92.1,0,22,47,0,0,0,804,0.0,92.1,126,0
ParkingExit_Town12_Route789_Weather9,base,616,562,91.2,54,0,0,0,0,54,616,8.8,100.0,154,0
PedestrianCrossing_Town12_Route864_Weather6,base,5748,5208,90.6,122,418,0,46,0,154,5330,2.7,92.7,651,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15510_Weather9,weak,1338,1212,90.6,0,126,0,207,0,13,1212,1.0,90.6,303,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15507_Weather14,weak,1223,1104,90.3,119,0,0,159,0,119,1223,9.7,100.0,276,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15511_Weather18,weak,726,632,87.1,0,94,0,28,0,0,632,0.0,87.1,158,0
VehicleTurningRoute_Town12_Route822_Weather18,base,3100,2684,86.6,0,0,416,446,0,0,2684,0.0,86.6,536,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15506_Weather13,weak,658,564,85.7,0,94,0,77,0,12,564,1.8,85.7,141,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15465_Weather23,weak,1620,1384,85.4,0,0,236,222,0,0,1384,0.0,85.4,287,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15475_Weather8,weak,2075,1768,85.2,0,307,0,308,0,0,1768,0.0,85.2,442,0
VehicleTurningRoute_Town12_Route1026_Weather12,base,1184,984,83.1,0,200,0,156,0,14,984,1.2,83.1,246,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15509_Weather8,weak,646,532,82.4,97,17,0,50,0,114,646,17.6,100.0,133,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15508_Weather15,weak,713,580,81.3,133,0,0,27,0,133,713,18.7,100.0,145,0
SignalizedJunctionLeftTurnEnterFlow_Town12_Route885_Weather14,base,723,580,80.2,0,143,0,78,0,13,580,1.8,80.2,145,0
HazardAtSideLaneTwoWays_Town12_Route1156_Weather12,base,648,516,79.6,132,0,0,0,0,132,648,20.4,100.0,129,0
SignalizedJunctionLeftTurnEnterFlow_Town12_Route1019_Weather5,base,814,632,77.6,0,182,0,85,0,104,658,12.8,80.8,158,0
TJunction_Town12_Route881_Weather23,base,1626,1241,76.3,255,130,0,163,0,572,1532,35.2,94.2,281,0
PedestrianCrossing_Town12_Route1014_Weather0,base,964,729,75.6,223,0,12,149,0,223,952,23.1,98.8,211,0
PedestrianCrossing_Town12_Route1033_Weather20,base,1030,777,75.4,0,241,12,43,0,35,812,3.4,78.8,166,0
OppositeVehicleRunningRedLight_Town12_Route807_Weather1,base,701,528,75.3,0,173,0,45,0,53,581,7.6,82.9,132,0
AccidentTwoWays_Town12_Route1113_Weather21,base,1056,792,75.0,264,0,0,0,0,264,1056,25.0,100.0,264,0
AccidentTwoWays_Town12_Route1444_Weather0,base,1052,789,75.0,263,0,0,0,0,263,1052,25.0,100.0,263,0
AccidentTwoWays_Town12_Route1459_Weather18,base,1064,798,75.0,266,0,0,0,0,266,1064,25.0,100.0,266,0
ConstructionObstacleTwoWays_Town12_Route1093_Weather1,base,1092,819,75.0,273,0,0,0,0,273,1092,25.0,100.0,273,0
ConstructionObstacleTwoWays_Town12_Route1419_Weather26,base,1144,858,75.0,286,0,0,0,0,286,1144,25.0,100.0,286,0
ConstructionObstacleTwoWays_Town12_Route1422_Weather26,base,1060,795,75.0,265,0,0,0,0,265,1060,25.0,100.0,265,0
ParkedObstacleTwoWays_Town12_Route1166_Weather22,base,1008,756,75.0,252,0,0,0,0,252,1008,25.0,100.0,252,0
ParkingCrossingPedestrian_Town12_Route953_Weather9,base,484,363,75.0,121,0,0,0,0,121,484,25.0,100.0,121,0
ParkingCutIn_Town12_Route902_Weather18,base,524,393,75.0,131,0,0,0,0,131,524,25.0,100.0,131,0
ParkingExit_Town12_Route1321_Weather6,base,504,378,75.0,126,0,0,0,0,126,504,25.0,100.0,126,0
ParkingExit_Town12_Route1322_Weather7,base,500,375,75.0,125,0,0,0,0,125,500,25.0,100.0,125,0
ParkingExit_Town13_Route731_Weather3,base,124,93,75.0,31,0,0,0,0,31,124,25.0,100.0,31,0
SignalizedJunctionRightTurn_Town12_Route804_Weather5,base,588,441,75.0,147,0,0,86,0,147,588,25.0,100.0,147,0
VehicleTurningRoutePedestrian_Town12_Route999_Weather11,base,1480,1110,75.0,370,0,0,305,0,370,1480,25.0,100.0,370,0
ParkedObstacleTwoWays_Town12_Route1161_Weather9,base,1007,754,74.9,252,0,1,0,0,252,1006,25.0,99.9,252,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15482_Weather15,weak,1078,807,74.9,271,0,0,173,0,271,1078,25.1,100.0,269,0
ConstructionObstacleTwoWays_Town12_Route1083_Weather9,base,1099,822,74.8,276,0,1,0,0,276,1098,25.1,99.9,274,0
DynamicObjectCrossing_Town12_Route22_Weather22,base,771,577,74.8,176,0,18,0,0,176,753,22.8,97.7,193,0
ParkingCutIn_Town13_Route1347_Weather6,base,474,351,74.1,123,0,0,0,0,123,474,25.9,100.0,117,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15531_Weather12,weak,890,656,73.7,0,226,8,73,0,82,656,9.2,73.7,164,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15541_Weather22,weak,2402,1740,72.4,331,0,331,314,0,331,2071,13.8,86.2,435,0
ControlLoss_Town11_Route402_Weather12,base,250,180,72.0,64,0,6,0,0,122,186,48.8,74.4,64,0
YieldToEmergencyVehicle_Town12_Route917_Weather7,base,509,366,71.9,1,142,0,0,0,69,435,13.6,85.5,92,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15577_Weather6,weak,1907,1370,71.8,523,0,14,309,0,523,1893,27.4,99.3,430,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15544_Weather25,weak,1809,1278,70.6,517,14,0,351,0,531,1809,29.4,100.0,426,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15487_Weather20,weak,2589,1816,70.1,0,773,0,368,0,1,1817,0.0,70.2,454,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15494_Weather1,weak,2496,1748,70.0,748,0,0,360,0,748,2496,30.0,100.0,437,0
VehicleTurningRoute_Town12_Route997_Weather9,base,3115,2164,69.5,0,951,0,458,0,28,2192,0.9,70.4,541,0
VehicleTurningRoute_Town12_Route825_Weather21,base,3129,2152,68.8,946,30,1,446,0,976,3128,31.2,100.0,538,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15530_Weather11,weak,1169,801,68.5,267,101,0,179,0,305,1068,26.1,91.4,267,0
PedestrianCrossing_Town12_Route865_Weather7,base,3010,2044,67.9,943,23,0,451,0,966,3010,32.1,100.0,511,0
DynamicObjectCrossing_Town11_Route20_Weather20,base,291,194,66.7,97,0,0,0,0,97,291,33.3,100.0,97,0
ParkingCrossingPedestrian_Town12_Route759_Weather5,base,171,114,66.7,57,0,0,0,0,57,171,33.3,100.0,57,0
ParkingCutIn_Town12_Route1300_Weather13,base,372,248,66.7,124,0,0,0,0,124,372,33.3,100.0,124,0
ParkingCutIn_Town12_Route1303_Weather8,base,393,262,66.7,131,0,0,0,0,131,393,33.3,100.0,131,0
ParkingCutIn_Town12_Route1310_Weather0,base,366,244,66.7,122,0,0,0,0,122,366,33.3,100.0,122,0
ParkingCutIn_Town12_Route1313_Weather3,base,384,256,66.7,128,0,0,0,0,128,384,33.3,100.0,128,0
ParkingCutIn_Town12_Route762_Weather8,base,165,110,66.7,55,0,0,0,0,55,165,33.3,100.0,55,0
ParkingCutIn_Town12_Route764_Weather10,base,162,108,66.7,54,0,0,0,0,54,162,33.3,100.0,54,0
ParkingCutIn_Town12_Route901_Weather9,base,387,258,66.7,129,0,0,0,0,129,387,33.3,100.0,129,0
ParkingCutIn_Town12_Route955_Weather19,base,156,104,66.7,52,0,0,0,0,52,156,33.3,100.0,52,0
ParkingExit_Town12_Route1307_Weather20,base,378,252,66.7,126,0,0,0,0,126,378,33.3,100.0,126,0
ParkingExit_Town12_Route1318_Weather2,base,381,254,66.7,127,0,0,0,0,127,381,33.3,100.0,127,0
ParkingExit_Town13_Route678_Weather2,base,342,228,66.7,114,0,0,0,0,228,342,66.7,100.0,114,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route875_Weather9,base,6773,4418,65.2,1731,577,47,489,0,2308,6149,34.1,90.8,577,0
TJunction_Town12_Route947_Weather11,base,1800,1168,64.9,624,0,8,424,0,624,1792,34.7,99.6,547,0
VehicleTurningRoutePedestrian_Town13_Route702_Weather14,base,1535,992,64.6,543,0,0,152,0,543,1535,35.4,100.0,248,0
ParkingExit_Town12_Route1309_Weather22,base,620,390,62.9,230,0,0,0,0,230,620,37.1,100.0,155,0
ParkingCutIn_Town12_Route903_Weather20,base,639,398,62.3,240,0,1,0,0,240,638,37.6,99.8,159,0
ParkingExit_Town12_Route1320_Weather5,base,623,388,62.3,234,0,1,0,0,234,622,37.6,99.8,156,0
ParkingCutIn_Town12_Route1315_Weather6,base,631,392,62.1,238,0,1,0,0,238,630,37.7,99.8,157,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15468_Weather1,weak,6289,3898,62.0,0,2372,19,513,0,1779,5084,28.3,80.8,593,0
VehicleTurningRoutePedestrian_Town13_Route609_Weather21,base,2519,1540,61.1,950,0,29,295,0,950,2490,37.7,98.8,385,0
VanillaSignalizedTurnEncounterGreenLight_Town13_Route640_Weather8,base,2528,1520,60.1,1008,0,0,308,0,1008,2528,39.9,100.0,380,0
VehicleTurningRoutePedestrian_Town12_Route1027_Weather13,base,1233,733,59.4,500,0,0,155,0,500,1233,40.6,100.0,223,0
VanillaSignalizedTurnEncounterGreenLight_Town12_Route870_Weather12,base,2817,1667,59.2,1083,43,24,310,0,1126,2793,40.0,99.1,378,0
ParkingCutIn_Town12_Route954_Weather18,base,2343,1374,58.6,819,137,13,0,0,956,2330,40.8,99.4,458,0
ParkingCutIn_Town12_Route763_Weather9,base,2348,1359,57.9,835,140,14,0,0,975,2334,41.5,99.4,453,0
ParkedObstacleTwoWays_Town12_Route1168_Weather23,base,1063,610,57.4,452,0,1,0,0,452,1062,42.5,99.9,266,0
ConstructionObstacleTwoWays_Town12_Route1404_Weather26,base,1200,686,57.2,514,0,0,0,0,514,1200,42.8,100.0,300,0
AccidentTwoWays_Town12_Route1454_Weather13,base,1202,686,57.1,515,0,1,0,0,515,1201,42.8,99.9,300,0
ParkingExit_Town12_Route1319_Weather3,base,2259,1290,57.1,815,136,18,0,0,951,2241,42.1,99.2,430,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15519_Weather0,weak,872,496,56.9,27,338,11,48,0,54,550,6.2,63.1,124,0
AccidentTwoWays_Town12_Route1446_Weather2,base,1191,674,56.6,516,0,1,0,0,516,1190,43.3,99.9,298,0
ConstructionObstacleTwoWays_Town12_Route1414_Weather26,base,1220,690,56.6,530,0,0,0,0,530,1220,43.4,100.0,305,0
ParkingExit_Town12_Route1308_Weather21,base,2327,1317,56.6,846,141,23,0,0,987,2304,42.4,99.0,439,0
AccidentTwoWays_Town12_Route1458_Weather9,base,1191,672,56.4,518,0,1,0,0,518,1190,43.5,99.9,298,0
AccidentTwoWays_Town12_Route1455_Weather14,base,1183,666,56.3,516,0,1,0,0,516,1182,43.6,99.9,296,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15460_Weather19,weak,3540,1944,54.9,435,1161,0,415,0,993,2814,28.1,79.5,486,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15474_Weather7,weak,1911,1035,54.2,801,0,75,158,0,801,1836,41.9,96.1,286,0
ParkingCrossingPedestrian_Town12_Route760_Weather6,base,745,393,52.8,0,301,51,0,0,128,314,17.2,42.1,118,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15497_Weather3,weak,703,362,51.5,322,0,19,29,0,322,684,45.8,97.3,133,0
YieldToEmergencyVehicle_Town12_Route20667_Weather22,weak,153,78,51.0,75,0,0,0,0,75,153,49.0,100.0,39,0
ParkedObstacle_Town11_Route395_Weather5,base,1098,558,50.8,525,0,15,0,0,525,1083,47.8,98.6,141,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15526_Weather7,weak,2583,1312,50.8,1253,0,18,506,0,1253,2565,48.5,99.3,599,0
HazardAtSideLane_Town12_Route774_Weather20,base,589,296,50.3,148,145,0,0,0,293,589,49.7,100.0,148,0
AccidentTwoWays_Town12_Route1103_Weather11,base,1280,640,50.0,640,0,0,0,0,640,1280,50.0,100.0,320,0
AccidentTwoWays_Town12_Route1463_Weather22,base,996,498,50.0,498,0,0,0,0,498,996,50.0,100.0,249,0
CrossingBicycleFlow_Town12_Route1062_Weather22,base,1876,938,50.0,938,0,0,340,0,938,1876,50.0,100.0,469,0
ParkedObstacleTwoWays_Town12_Route1173_Weather3,base,1032,516,50.0,516,0,0,0,0,516,1032,50.0,100.0,258,0
ParkingCutIn_Town12_Route1301_Weather14,base,464,232,50.0,232,0,0,0,0,232,464,50.0,100.0,116,0
PedestrianCrossing_Town12_Route866_Weather8,base,1992,996,50.0,996,0,0,111,0,996,1992,50.0,100.0,498,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15477_Weather10,weak,1760,880,50.0,880,0,0,342,0,880,1760,50.0,100.0,440,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15478_Weather11,weak,1136,568,50.0,568,0,0,163,0,568,1136,50.0,100.0,284,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15490_Weather23,weak,2304,1152,50.0,576,576,0,462,0,1152,2304,50.0,100.0,576,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15502_Weather9,weak,2356,1178,50.0,589,589,0,499,0,1178,2356,50.0,100.0,589,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15505_Weather12,weak,2344,1172,50.0,586,586,0,496,0,1172,2344,50.0,100.0,586,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15533_Weather14,weak,3478,1739,50.0,600,600,539,515,0,1200,2939,34.5,84.5,600,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15552_Weather7,weak,2308,1154,50.0,1154,0,0,493,0,1154,2308,50.0,100.0,577,0
ParkingCutIn_Town12_Route1311_Weather1,base,471,234,49.7,236,0,1,0,0,236,470,50.1,99.8,117,0
AccidentTwoWays_Town12_Route1468_Weather2,base,2679,1314,49.0,1114,238,13,0,0,1352,2666,50.5,99.5,438,0
AccidentTwoWays_Town12_Route1461_Weather20,base,2741,1314,47.9,1164,250,13,0,0,1414,2728,51.6,99.5,438,0
EnterActorFlow_Town12_Route831_Weather25,base,593,284,47.9,297,0,12,46,0,297,581,50.1,98.0,120,0
CrossingBicycleFlow_Town12_Route1072_Weather6,base,1766,842,47.7,842,82,0,336,0,864,1706,48.9,96.6,421,0
VehicleTurningRoutePedestrian_Town12_Route1040_Weather0,base,2158,1024,47.5,1118,16,0,450,0,1134,2158,52.5,100.0,512,0
CrossingBicycleFlow_Town12_Route1011_Weather23,base,1701,806,47.4,806,89,0,338,0,830,1636,48.8,96.2,403,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15486_Weather19,weak,1194,544,45.6,612,38,0,239,0,650,1194,54.4,100.0,272,0
ConstructionObstacleTwoWays_Town12_Route1096_Weather3,base,1208,548,45.4,660,0,0,0,0,660,1208,54.6,100.0,274,0
CrossingBicycleFlow_Town12_Route1071_Weather0,base,3613,1636,45.3,1224,446,307,333,0,1654,2860,45.8,79.2,408,0
ConstructionObstacleTwoWays_Town12_Route1406_Weather26,base,1195,540,45.2,625,29,1,0,0,654,1194,54.7,99.9,270,0
CrossingBicycleFlow_Town12_Route1076_Weather10,base,3562,1610,45.2,1206,438,308,332,0,1629,2816,45.7,79.1,402,0
ConstructionObstacleTwoWays_Town12_Route1415_Weather26,base,1192,538,45.1,625,29,0,0,0,654,1192,54.9,100.0,269,0
CrossingBicycleFlow_Town12_Route1050_Weather10,base,3624,1636,45.1,1227,450,311,340,0,1659,2863,45.8,79.0,409,0
CrossingBicycleFlow_Town12_Route1063_Weather23,base,3582,1616,45.1,1212,445,309,335,0,1639,2828,45.8,79.0,404,0
CrossingBicycleFlow_Town12_Route1078_Weather12,base,7802,3484,44.7,13,3756,549,333,0,2816,5375,36.1,68.9,939,0
ParkingCutIn_Town13_Route1345_Weather3,base,914,407,44.5,369,75,63,0,0,591,851,64.7,93.1,161,0
CrossingBicycleFlow_Town12_Route1032_Weather18,base,2772,1188,42.9,0,1584,0,332,332,1188,1980,42.9,71.4,396,0
CrossingBicycleFlow_Town12_Route1065_Weather25,base,2947,1263,42.9,0,1684,0,327,327,1263,2105,42.9,71.4,421,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15481_Weather14,weak,2219,951,42.9,0,1268,0,203,203,951,1585,42.9,71.4,317,0
ParkingCrossingPedestrian_Town12_Route897_Weather13,base,3970,1657,41.7,9,2291,13,0,0,1716,2812,43.2,70.8,561,0
DynamicObjectCrossing_Town12_Route23_Weather23,base,1091,451,41.3,0,629,11,0,0,629,1080,57.7,99.0,121,0
SignalizedJunctionLeftTurnEnterFlow_Town12_Route948_Weather9,base,678,280,41.3,382,16,0,81,0,398,678,58.7,100.0,140,0
TJunction_Town12_Route882_Weather23,base,3482,1401,40.2,482,1583,16,421,0,1015,2933,29.1,84.2,467,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15489_Weather22,weak,1524,590,38.7,762,172,0,161,0,934,1524,61.3,100.0,295,0
YieldToEmergencyVehicle_Town12_Route20672_Weather1,weak,1318,484,36.7,509,311,14,0,0,820,1304,62.2,98.9,242,0
SignalizedJunctionRightTurn_Town12_Route964_Weather2,base,739,270,36.5,448,21,0,74,0,469,739,63.5,100.0,135,0
ConstructionObstacle_Town12_Route78_Weather0,base,653,236,36.1,417,0,0,0,0,417,653,63.9,100.0,118,0
SignalizedJunctionRightTurn_Town12_Route988_Weather0,base,859,308,35.9,525,26,0,92,0,551,859,64.1,100.0,154,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15512_Weather19,weak,2324,776,33.4,928,290,330,168,0,1218,1994,52.4,85.8,215,0
YieldToEmergencyVehicle_Town12_Route20614_Weather21,weak,451,148,32.8,267,36,0,0,0,303,451,67.2,100.0,74,0
YieldToEmergencyVehicle_Town12_Route20862_Weather9,weak,460,150,32.6,273,37,0,0,0,310,460,67.4,100.0,75,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15479_Weather12,weak,894,282,31.5,425,171,16,30,0,596,878,66.7,98.2,141,0
YieldToEmergencyVehicle_Town12_Route20815_Weather14,weak,748,228,30.5,163,300,57,0,0,348,437,46.5,58.4,70,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15503_Weather10,weak,2108,636,30.2,828,276,368,244,0,1104,1740,52.4,82.5,215,0
VanillaSignalizedTurnEncounterRedLight_Town13_Route3870_Weather9,weak,2939,880,29.9,880,1179,0,362,0,1307,1760,44.5,59.9,440,0
EnterActorFlow_Town12_Route830_Weather23,base,741,209,28.2,500,0,32,42,0,500,709,67.5,95.7,58,0
ParkedObstacle_Town12_Route772_Weather11,base,809,226,27.9,365,132,86,0,0,482,659,59.6,81.5,65,0
TJunction_Town13_Route691_Weather15,base,3185,805,25.3,675,1635,70,316,316,1097,1480,34.4,46.5,422,0
AccidentTwoWays_Town12_Route1445_Weather1,base,2652,669,25.2,1527,445,11,0,0,1972,2641,74.4,99.6,223,0
AccidentTwoWays_Town12_Route1453_Weather12,base,2636,660,25.0,1521,444,11,0,0,1965,2625,74.5,99.6,220,0
AccidentTwoWays_Town12_Route1114_Weather22,base,2619,651,24.9,1515,443,10,0,0,1958,2609,74.8,99.6,217,0
ParkingCutIn_Town13_Route548_Weather2,base,1053,258,24.5,203,592,0,0,0,754,827,71.6,78.5,123,0
ConstructionObstacle_Town12_Route77_Weather25,base,749,180,24.0,200,369,0,0,0,320,380,42.7,50.7,90,0
ParkingCutIn_Town13_Route672_Weather22,base,872,207,23.7,637,28,0,0,0,872,872,100.0,100.0,127,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15461_Weather20,weak,3125,685,21.9,2384,0,56,338,0,2384,3069,76.3,98.2,344,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15469_Weather2,weak,4167,892,21.4,3203,0,72,478,0,3203,4095,76.9,98.3,447,0
VanillaSignalizedTurnEncounterRedLight_Town12_Route15518_Weather25,weak,4289,886,20.7,3317,0,86,503,0,3317,4203,77.3,98.0,444,0
HazardAtSideLane_Town12_Route1534_Weather7,base,743,150,20.2,0,592,1,0,0,296,446,39.8,60.0,38,0
ParkedObstacle_Town12_Route771_Weather9,base,694,134,19.3,0,559,1,0,0,279,413,40.2,59.5,34,0
ParkingCutIn_Town13_Route1348_Weather7,base,521,100,19.2,421,0,0,0,0,421,521,80.8,100.0,50,0
ConstructionObstacle_Town12_Route79_Weather1,base,707,132,18.7,575,0,0,0,0,575,707,81.3,100.0,66,0
HazardAtSideLane_Town12_Route1536_Weather11,base,1595,290,18.2,329,976,0,0,0,639,619,40.1,38.8,145,0
ParkingExit_Town13_Route570_Weather23,base,859,148,17.2,710,0,1,0,0,710,858,82.7,99.9,74,0
ParkingExit_Town12_Route788_Weather8,base,2292,393,17.1,1443,442,14,0,0,1885,2278,82.2,99.4,131,0
YieldToEmergencyVehicle_Town12_Route20802_Weather1,weak,444,74,16.7,262,108,0,0,0,370,444,83.3,100.0,37,0
ParkingCutIn_Town12_Route900_Weather19,base,2426,399,16.4,1537,476,14,0,0,2013,2412,83.0,99.4,133,0
ParkedObstacle_Town12_Route770_Weather8,base,729,114,15.6,121,491,3,0,0,121,399,16.6,54.7,57,0
